2020-02-04 16:56:44 configure libgtkmm-3.0-1v5:amd64 3.22.2-2 <none>
2020-02-04 16:56:44 status unpacked libgtkmm-3.0-1v5:amd64 3.22.2-2
2020-02-04 16:56:44 status half-configured libgtkmm-3.0-1v5:amd64 3.22.2-2
2020-02-04 16:56:45 status installed libgtkmm-3.0-1v5:amd64 3.22.2-2
2020-02-04 16:56:45 configure pavucontrol:amd64 3.0-4 <none>
2020-02-04 16:56:45 status unpacked pavucontrol:amd64 3.0-4
2020-02-04 16:56:45 status half-configured pavucontrol:amd64 3.0-4
2020-02-04 16:56:45 status installed pavucontrol:amd64 3.0-4
2020-02-04 16:56:45 trigproc desktop-file-utils:amd64 0.23-1ubuntu3.18.04.2 <none>
2020-02-04 16:56:45 status half-configured desktop-file-utils:amd64 0.23-1ubuntu3.18.04.2
2020-02-04 16:56:46 status installed desktop-file-utils:amd64 0.23-1ubuntu3.18.04.2
2020-02-04 16:56:46 trigproc libc-bin:amd64 2.27-3ubuntu1 <none>
2020-02-04 16:56:46 status half-configured libc-bin:amd64 2.27-3ubuntu1
2020-02-04 16:56:59 status installed libc-bin:amd64 2.27-3ubuntu1
2020-02-04 16:56:59 trigproc man-db:amd64 2.8.3-2ubuntu0.1 <none>
2020-02-04 16:56:59 status half-configured man-db:amd64 2.8.3-2ubuntu0.1
2020-02-04 16:57:00 status installed man-db:amd64 2.8.3-2ubuntu0.1
2020-02-04 16:57:00 trigproc gnome-menus:amd64 3.13.3-11ubuntu1.1 <none>
2020-02-04 16:57:00 status half-configured gnome-menus:amd64 3.13.3-11ubuntu1.1
2020-02-04 16:57:00 status installed gnome-menus:amd64 3.13.3-11ubuntu1.1
2020-02-04 16:57:01 trigproc mime-support:all 3.60ubuntu1 <none>
2020-02-04 16:57:01 status half-configured mime-support:all 3.60ubuntu1
2020-02-04 16:57:01 status installed mime-support:all 3.60ubuntu1
2020-02-04 16:57:33 startup packages remove
2020-02-04 16:57:33 status installed pinguybuilder:all 5.1-8
2020-02-04 16:57:33 remove pinguybuilder:all 5.1-8 <none>
2020-02-04 16:57:33 status half-configured pinguybuilder:all 5.1-8
2020-02-04 16:57:33 status half-installed pinguybuilder:all 5.1-8
2020-02-04 16:57:33 status triggers-pending man-db:amd64 2.8.3-2ubuntu0.1
2020-02-04 16:57:33 status triggers-pending hicolor-icon-theme:all 0.17-2
2020-02-04 16:57:34 status triggers-pending gnome-menus:amd64 3.13.3-11ubuntu1.1
2020-02-04 16:57:34 status triggers-pending desktop-file-utils:amd64 0.23-1ubuntu3.18.04.2
2020-02-04 16:57:34 status triggers-pending mime-support:all 3.60ubuntu1
2020-02-04 16:57:35 status config-files pinguybuilder:all 5.1-8
