v8-version,7,1,302,31,0
code-creation,Builtin,3,2817,0x561e6a1c7580,49,ContinueToJavaScriptBuiltinWithResult
code-creation,Builtin,3,2822,0x561e6a1c75c0,12,HandleApiCall
code-creation,Builtin,3,2825,0x561e6a1c75e0,12,HandleApiCallAsFunction
code-creation,Builtin,3,2830,0x561e6a1c7600,12,HandleApiCallAsConstructor
code-creation,Builtin,3,2837,0x561e6a1c7620,40,AllocateInNewSpace
code-creation,Builtin,3,2843,0x561e6a1c7660,60,AllocateInOldSpace
code-creation,Builtin,3,2849,0x561e6a1c76a0,743,CopyFastSmiOrObjectElements
code-creation,Builtin,3,2857,0x561e6a1c79a0,496,GrowFastDoubleElements
code-creation,Builtin,3,2864,0x561e6a1c7ba0,456,GrowFastSmiOrObjectElements
code-creation,Builtin,3,2871,0x561e6a1c7d80,331,NewArgumentsElements
code-creation,Builtin,3,2878,0x561e6a1c7ee0,444,DebugBreakTrampoline
code-creation,Builtin,3,2885,0x561e6a1c80a0,112,FrameDropperTrampoline
code-creation,Builtin,3,2893,0x561e6a1c8120,45,HandleDebuggerStatement
code-creation,Builtin,3,2903,0x561e6a1c8160,382,ToObject
code-creation,Builtin,3,2911,0x561e6a1c82e0,147,ToBoolean
code-creation,Builtin,3,2919,0x561e6a1c8380,283,OrdinaryToPrimitive_Number
code-creation,Builtin,3,2928,0x561e6a1c84a0,283,OrdinaryToPrimitive_String
code-creation,Builtin,3,2936,0x561e6a1c85c0,225,NonPrimitiveToPrimitive_Default
code-creation,Builtin,3,2945,0x561e6a1c86c0,225,NonPrimitiveToPrimitive_Number
code-creation,Builtin,3,2953,0x561e6a1c87c0,225,NonPrimitiveToPrimitive_String
code-creation,Builtin,3,2962,0x561e6a1c88c0,91,StringToNumber
code-creation,Builtin,3,2970,0x561e6a1c8920,131,ToName
code-creation,Builtin,3,2976,0x561e6a1c89c0,309,NonNumberToNumber
code-creation,Builtin,3,2983,0x561e6a1c8b00,321,NonNumberToNumeric
code-creation,Builtin,3,2990,0x561e6a1c8c60,265,ToNumber
code-creation,Builtin,3,2997,0x561e6a1c8d80,308,ToNumberConvertBigInt
code-creation,Builtin,3,3005,0x561e6a1c8ec0,353,ToNumeric
code-creation,Builtin,3,3012,0x561e6a1c9040,271,NumberToString
code-creation,Builtin,3,3017,0x561e6a1c9160,347,ToString
code-creation,Builtin,3,3023,0x561e6a1c92c0,486,ToInteger
code-creation,Builtin,3,3030,0x561e6a1c94c0,506,ToInteger_TruncateMinusZero
code-creation,Builtin,3,3038,0x561e6a1c96c0,542,ToLength
code-creation,Builtin,3,3044,0x561e6a1c98e0,156,Typeof
code-creation,Builtin,3,3048,0x561e6a1c9980,71,GetSuperConstructor
code-creation,Builtin,3,3052,0x561e6a1c99e0,159,ToBooleanLazyDeoptContinuation
code-creation,Builtin,3,3057,0x561e6a1c9a80,3003,KeyedLoadIC_PolymorphicName
code-creation,Builtin,3,3061,0x561e6a1ca640,36,KeyedLoadIC_Slow
code-creation,Builtin,3,3065,0x561e6a1ca680,14692,KeyedStoreIC_Megamorphic
code-creation,Builtin,3,3070,0x561e6a1ce000,40,KeyedStoreIC_Slow
code-creation,Builtin,3,3074,0x561e6a1ce040,40,LoadGlobalIC_Slow
code-creation,Builtin,3,3078,0x561e6a1ce080,88,LoadIC_FunctionPrototype
code-creation,Builtin,3,3090,0x561e6a1ce0e0,36,LoadIC_Slow
code-creation,Builtin,3,3094,0x561e6a1ce120,20,LoadIC_StringLength
code-creation,Builtin,3,3098,0x561e6a1ce140,24,LoadIC_StringWrapperLength
code-creation,Builtin,3,3103,0x561e6a1ce160,3352,LoadIC_Uninitialized
code-creation,Builtin,3,3107,0x561e6a1cee80,40,StoreGlobalIC_Slow
code-creation,Builtin,3,3111,0x561e6a1ceec0,6612,StoreIC_Uninitialized
code-creation,Builtin,3,3115,0x561e6a1d08a0,40,StoreInArrayLiteralIC_Slow
code-creation,Builtin,3,3120,0x561e6a1d08e0,1228,EnqueueMicrotask
code-creation,Builtin,3,3124,0x561e6a1d0dc0,1684,RunMicrotasks
code-creation,Builtin,3,3128,0x561e6a1d1460,2308,HasProperty
code-creation,Builtin,3,3132,0x561e6a1d1d80,1032,DeleteProperty
code-creation,Builtin,3,3136,0x561e6a1d21a0,36,Abort
code-creation,Builtin,3,3139,0x561e6a1d21e0,36,AbortJS
code-creation,Builtin,3,3143,0x561e6a1d2220,12,EmptyFunction
code-creation,Builtin,3,3147,0x561e6a1d2240,12,Illegal
code-creation,Builtin,3,3151,0x561e6a1d2260,12,StrictPoisonPillThrower
code-creation,Builtin,3,3155,0x561e6a1d2280,12,UnsupportedThrower
code-creation,Builtin,3,3159,0x561e6a1d22a0,67,ReturnReceiver
code-creation,Builtin,3,3163,0x561e6a1d2300,36,ArrayConstructor
code-creation,Builtin,3,3167,0x561e6a1d2340,455,ArrayConstructorImpl
code-creation,Builtin,3,3172,0x561e6a1d2520,235,ArrayNoArgumentConstructor_PackedSmi_DontOverride
code-creation,Builtin,3,3177,0x561e6a1d2620,235,ArrayNoArgumentConstructor_HoleySmi_DontOverride
code-creation,Builtin,3,3182,0x561e6a1d2720,199,ArrayNoArgumentConstructor_PackedSmi_DisableAllocationSites
code-creation,Builtin,3,3188,0x561e6a1d2800,199,ArrayNoArgumentConstructor_HoleySmi_DisableAllocationSites
code-creation,Builtin,3,3194,0x561e6a1d28e0,199,ArrayNoArgumentConstructor_Packed_DisableAllocationSites
code-creation,Builtin,3,3200,0x561e6a1d29c0,199,ArrayNoArgumentConstructor_Holey_DisableAllocationSites
code-creation,Builtin,3,3205,0x561e6a1d2aa0,211,ArrayNoArgumentConstructor_PackedDouble_DisableAllocationSites
code-creation,Builtin,3,3211,0x561e6a1d2b80,211,ArrayNoArgumentConstructor_HoleyDouble_DisableAllocationSites
code-creation,Builtin,3,3217,0x561e6a1d2c60,559,ArraySingleArgumentConstructor_PackedSmi_DontOverride
code-creation,Builtin,3,3223,0x561e6a1d2ea0,523,ArraySingleArgumentConstructor_HoleySmi_DontOverride
code-creation,Builtin,3,3228,0x561e6a1d30c0,487,ArraySingleArgumentConstructor_PackedSmi_DisableAllocationSites
code-creation,Builtin,3,3234,0x561e6a1d32c0,447,ArraySingleArgumentConstructor_HoleySmi_DisableAllocationSites
code-creation,Builtin,3,3240,0x561e6a1d3480,487,ArraySingleArgumentConstructor_Packed_DisableAllocationSites
code-creation,Builtin,3,3246,0x561e6a1d3680,447,ArraySingleArgumentConstructor_Holey_DisableAllocationSites
code-creation,Builtin,3,3252,0x561e6a1d3840,495,ArraySingleArgumentConstructor_PackedDouble_DisableAllocationSites
code-creation,Builtin,3,3258,0x561e6a1d3a40,455,ArraySingleArgumentConstructor_HoleyDouble_DisableAllocationSites
code-creation,Builtin,3,3264,0x561e6a1d3c20,68,ArrayNArgumentsConstructor
code-creation,Builtin,3,3268,0x561e6a1d3c80,5,InternalArrayConstructor
code-creation,Builtin,3,3272,0x561e6a1d3ca0,118,InternalArrayConstructorImpl
code-creation,Builtin,3,3277,0x561e6a1d3d20,191,InternalArrayNoArgumentConstructor_Packed
code-creation,Builtin,3,3282,0x561e6a1d3de0,191,InternalArrayNoArgumentConstructor_Holey
code-creation,Builtin,3,3287,0x561e6a1d3ea0,491,InternalArraySingleArgumentConstructor_Packed
code-creation,Builtin,3,3292,0x561e6a1d40a0,451,InternalArraySingleArgumentConstructor_Holey
code-creation,Builtin,3,3297,0x561e6a1d4280,12,ArrayConcat
code-creation,Builtin,3,3301,0x561e6a1d42a0,150,ArrayIsArray
code-creation,Builtin,3,3305,0x561e6a1d4340,12,ArrayPrototypeFill
code-creation,Builtin,3,3309,0x561e6a1d4360,3212,ArrayFrom
code-creation,Builtin,3,3313,0x561e6a1d5000,992,ArrayOf
code-creation,Builtin,3,3317,0x561e6a1d5400,952,ArrayIncludesSmiOrObject
code-creation,Builtin,3,3321,0x561e6a1d57c0,120,ArrayIncludesPackedDoubles
code-creation,Builtin,3,3326,0x561e6a1d5840,176,ArrayIncludesHoleyDoubles
code-creation,Builtin,3,3335,0x561e6a1d5900,631,ArrayIncludes
code-creation,Builtin,3,3339,0x561e6a1d5b80,872,ArrayIndexOfSmiOrObject
code-creation,Builtin,3,3343,0x561e6a1d5f00,104,ArrayIndexOfPackedDoubles
code-creation,Builtin,3,3347,0x561e6a1d5f80,104,ArrayIndexOfHoleyDoubles
code-creation,Builtin,3,3352,0x561e6a1d6000,635,ArrayIndexOf
code-creation,Builtin,3,3356,0x561e6a1d6280,12,ArrayPop
code-creation,Builtin,3,3409,0x561e6a1d62a0,718,ArrayPrototypePop
code-creation,Builtin,3,3416,0x561e6a1d6580,12,ArrayPush
code-creation,Builtin,3,3420,0x561e6a1d65a0,2500,ArrayPrototypePush
code-creation,Builtin,3,3424,0x561e6a1d6f80,12,ArrayShift
code-creation,Builtin,3,3428,0x561e6a1d6fa0,1168,ArrayPrototypeShift
code-creation,Builtin,3,3432,0x561e6a1d7440,6460,ArrayPrototypeSlice
code-creation,Builtin,3,3436,0x561e6a1d8d80,12,ArrayUnshift
code-creation,Builtin,3,3440,0x561e6a1d8da0,1308,CloneFastJSArray
code-creation,Builtin,3,3444,0x561e6a1d92c0,3732,CloneFastJSArrayFillingHoles
code-creation,Builtin,3,3449,0x561e6a1da160,1342,ExtractFastJSArray
code-creation,Builtin,3,3453,0x561e6a1da6a0,2916,ArrayEveryLoopContinuation
code-creation,Builtin,3,3457,0x561e6a1db220,130,ArrayEveryLoopEagerDeoptContinuation
code-creation,Builtin,3,3462,0x561e6a1db2c0,480,ArrayEveryLoopLazyDeoptContinuation
code-creation,Builtin,3,3467,0x561e6a1db4c0,1760,ArrayEvery
code-creation,Builtin,3,3471,0x561e6a1dbbc0,2908,ArraySomeLoopContinuation
code-creation,Builtin,3,3476,0x561e6a1dc720,130,ArraySomeLoopEagerDeoptContinuation
code-creation,Builtin,3,3480,0x561e6a1dc7c0,472,ArraySomeLoopLazyDeoptContinuation
code-creation,Builtin,3,3485,0x561e6a1dc9a0,1752,ArraySome
code-creation,Builtin,3,3489,0x561e6a1dd080,4880,ArrayFilterLoopContinuation
code-creation,Builtin,3,3494,0x561e6a1de3a0,6201,ArrayFilter
code-creation,Builtin,3,3497,0x561e6a1dfbe0,130,ArrayFilterLoopEagerDeoptContinuation
code-creation,Builtin,3,3502,0x561e6a1dfc80,738,ArrayFilterLoopLazyDeoptContinuation
code-creation,Builtin,3,3507,0x561e6a1dff80,2800,ArrayMapLoopContinuation
code-creation,Builtin,3,3512,0x561e6a1e0a80,130,ArrayMapLoopEagerDeoptContinuation
code-creation,Builtin,3,3516,0x561e6a1e0b20,368,ArrayMapLoopLazyDeoptContinuation
code-creation,Builtin,3,3521,0x561e6a1e0ca0,4228,ArrayMap
code-creation,Builtin,3,3525,0x561e6a1e1d40,2836,ArrayReduceLoopContinuation
code-creation,Builtin,3,3529,0x561e6a1e2860,126,ArrayReducePreLoopEagerDeoptContinuation
code-creation,Builtin,3,3534,0x561e6a1e28e0,130,ArrayReduceLoopEagerDeoptContinuation
code-creation,Builtin,3,3539,0x561e6a1e2980,130,ArrayReduceLoopLazyDeoptContinuation
code-creation,Builtin,3,3544,0x561e6a1e2a20,1644,ArrayReduce
code-creation,Builtin,3,3548,0x561e6a1e30a0,2784,ArrayReduceRightLoopContinuation
code-creation,Builtin,3,3553,0x561e6a1e3ba0,142,ArrayReduceRightPreLoopEagerDeoptContinuation
code-creation,Builtin,3,3558,0x561e6a1e3c40,130,ArrayReduceRightLoopEagerDeoptContinuation
code-creation,Builtin,3,3563,0x561e6a1e3ce0,130,ArrayReduceRightLoopLazyDeoptContinuation
code-creation,Builtin,3,3568,0x561e6a1e3d80,1785,ArrayReduceRight
code-creation,Builtin,3,3572,0x561e6a1e4480,297,ArrayPrototypeEntries
code-creation,Builtin,3,3576,0x561e6a1e45c0,608,ArrayFindLoopContinuation
code-creation,Builtin,3,3581,0x561e6a1e4840,130,ArrayFindLoopEagerDeoptContinuation
code-creation,Builtin,3,3586,0x561e6a1e48e0,130,ArrayFindLoopLazyDeoptContinuation
code-creation,Builtin,3,3590,0x561e6a1e4980,289,ArrayFindLoopAfterCallbackLazyDeoptContinuation
code-creation,Builtin,3,3596,0x561e6a1e4ac0,1708,ArrayPrototypeFind
code-creation,Builtin,3,3600,0x561e6a1e5180,600,ArrayFindIndexLoopContinuation
code-creation,Builtin,3,3604,0x561e6a1e53e0,138,ArrayFindIndexLoopEagerDeoptContinuation
code-creation,Builtin,3,3609,0x561e6a1e5480,138,ArrayFindIndexLoopLazyDeoptContinuation
